想|A heart watches a tree and eye facing each other, thinks about their meeting, and wants to join.
得|A walker at dawn raises a thumb to get a description of the action: 跑得快, run quickly. 得 connects the action to “quickly.”
从|One person follows another; point to the place they came from to remember 从 as “from.”
真|A straight ruler rests on a small table and proves the claim true: “Really!” you exclaim.
别|A knife separates another slice; a mouth calls “Don't cut any more!” and stops the knife.
张|A bow stretches a long sheet of paper flat; count each stretched sheet with 张.
阴|A hill keeps the moon in shade while clouds cover the sky, making an overcast day.
把|A hand grasps a curling tail and brings it forward; likewise 把 brings the handled object forward in 把门打开, open the door.
地|Earth spreads beside the also-bench as a linking ground between manner and action: 慢慢地走, walk slowly.
才|A talented hand waits for the clock before performing: 八点才来, not arriving until eight.
位|A person stands in a marked position; politely count each person in line with 位.
种|Grain grows in the middle of labeled pots; each pot contains a different kind of seed.
放|Tap a square flag free, then put it in its place on the shelf.
信|A person keeps their spoken word by writing it in a letter and posting the letter to you.
越|A walker passes a ceremonial axe, then goes increasingly farther: the more they walk, the farther they go.
米|Rice grains arrange themselves along a ruler marked one meter; trace 米's rice-tree shape to remember the unit.
差|A sheep tries a worker's job, but the result is poor; compare the difference from the expert's work.
角|A curled horn holds ten tiny coins worth one yuan altogether; each coin is one jiao.
刮|A tongue-shaped scraper and tiny knife ride a gust of wind that blows hard enough to scrape the window.
对|A hand faces a thumb across a mirror; when both line up correctly, you have the correct answer.
过|A road passes a thumb marker and leaves a travel stamp: 我去过, I have been there. 过 marks that past experience.
当|Little sparks land on a broom; when they arrive, put each spark in position to act as a lamp.
行|Left and right steps test a path and find it works: “行, okay!” the walker says.
场|An earth field posts “do not enter” before the show; count each event held there with 场.
连|A road connects every vehicle in line, even the tiny one at the back.
干|A dry cross-pole holds wet clothes; do the work of hanging them up until they are dry.
台|A private cocoon opens its mouth into a stage; put one machine on each stage and count machines with 台.
交|Six crossed paths meet at a desk where travelers hand in papers and pay their fees.
挺|A hand straightens banners in the royal court; they look quite tall and rather impressive.
座|A shelter covers a sitting base; place one model building on each base and count buildings with 座.
遍|A flat banner travels the entire road once; one complete trip counts as one 遍.
顿|A camp fills a page; pause at each camp for one meal and count the meals with 顿.
困|A tree is trapped in an enclosure; waiting so long makes it sleepy enough to doze.
