生命|life
全部|all; entire
刚刚|just now
正常|normal
另外|in addition; another
好像|seem; as if
到底|after all; really
感谢|thank; be grateful
坚持|persist; insist
技术|technique; technology
严重|serious; severe
包括|include
原来|originally; it turns out
法律|law
父亲|father
并且|and also
社会|society
证明|prove; proof
记者|reporter
确实|indeed; really
不管|no matter
受到|receive, an effect
发展|develop
至少|at least
解释|explain
负责|be responsible for
首先|first of all
理解|understand
报道|report news
安排|arrange
重新|again; anew
幸福|happiness
自然|nature; natural
责任|responsibility
说明|explain; illustrate
许多|many
压力|pressure
由于|due to
母亲|mother
放弃|give up
意见|opinion; suggestion
过程|process
即使|even if
尽管|although; despite
仍然|still
值得|worth
经历|experience; go through
讨论|discuss
超过|exceed
后来|later
地址|address
无论|regardless of
紧张|nervous; tense
十分|very
本来|originally
条件|condition; requirement
广告|advertisement
警察|police officer
关键|key point
样子|appearance; manner
困难|difficulty; difficult
专业|specialty; major
难道|could it really be…?
于是|so; thereupon
规定|rule; stipulate
正确|correct
爱情|romantic love
方向|direction
市场|market
教育|education
危险|dangerous
管理|manage
适合|suitable
