妹妹|younger sister
报纸|newspaper
机场|airport
弟弟|younger brother
好吃|delicious
旅游|travel; tourism
起床|get out of bed
唱歌|sing
右边|right side
牛奶|cow's milk
自行车|bicycle
鸡蛋|egg
游泳|swim
跳舞|dance
生病|fall ill
左边|left side
公斤|kilogram
教室|classroom
服务员|server; attendant
手表|wristwatch
跑步|run; jog
西瓜|watermelon
羊肉|mutton; lamb
公共汽车|bus
打篮球|play basketball
自己|oneself
如果|if
需要|need
还是|or, in a question
认为|think; consider
应该|should
发现|discover
一定|definitely; certainly
一直|continuously; all along
为了|in order to
一样|same
世界|world
而且|and also; moreover
必须|must
地方|place
其他|other
比赛|competition; match
然后|then; after that
担心|worry
为什么|why
关系|relationship
出现|appear
了解|understand; learn about
过去|the past
参加|participate
国家|country
决定|decide
选择|choose
或者|or
机会|opportunity
别人|other people
其实|actually
以后|after; later
要求|request; require
当然|of course
相信|believe
虽然|although
解决|solve
关于|about; concerning
完成|complete
结束|end; finish
努力|make an effort
以前|before; previously
办法|method; way
