正式|formal; official
引起|cause; arouse
从来|ever; always
内容|content
律师|lawyer
通知|notify; notice
感情|feelings; affection
目的|purpose
观众|audience
国际|international
美丽|beautiful
经验|experience; know-how
科学|science
心情|mood
标准|standard
职业|profession
精彩|wonderful; brilliant
范围|range; scope
速度|speed
实在|really; indeed
效果|effect
经济|economy
按照|according to
反对|oppose
竟然|unexpectedly
重点|main point; focus
讨厌|dislike; annoying
咱们|we, including you
免费|free of charge
否则|otherwise
动作|movement; action
增加|increase
著名|famous
拒绝|refuse
不仅|not only
顺利|smoothly
艺术|art
麻烦|trouble; troublesome
申请|apply
演出|perform; performance
竞争|compete; competition
估计|estimate
失败|fail; failure
世纪|century
制造|manufacture
不得不|have no choice but to
当地|local
允许|allow
大概|approximately; probably
教授|professor
吸引|attract
共同|shared; joint
杂志|magazine
既然|since, given that
停止|stop
提醒|remind
演员|actor
态度|attitude
周围|surroundings; around
复杂|complicated
表达|express
数字|number; digit
邀请|invite
交通|traffic; transportation
优秀|excellent
儿童|children
最好|best; had better
味道|taste; flavor
千万|be sure to, emphatic
出发|set off
距离|distance
轻松|relaxed; easy
毕业|graduate
怀疑|doubt; suspect
价格|price
究竟|what exactly; after all
然而|however
交流|communicate; exchange
兴奋|excited
