已经|already
因为|because
知道|know
问题|question; problem
但是|but
可能|possible; might
时间|time
开始|begin
所以|so; therefore
觉得|think; feel
一起|together
希望|hope
大家|everyone
非常|very
孩子|child
公司|company
第一|first
告诉|tell
事情|matter; thing to do
准备|prepare
女人|woman
小时|hour
男人|man
正在|in the middle of doing
帮助|help
晚上|evening; night
身体|body; health
介绍|introduce
欢迎|welcome
眼睛|eyes
去年|last year
意思|meaning
早上|early morning
回答|answer
运动|exercise; sport
妻子|wife
休息|rest; take a break
房间|room
丈夫|husband
上班|go to work
生日|birthday
姐姐|older sister
哥哥|older brother
考试|exam
旁边|beside
颜色|color
