符合|meet; conform to
答案|answer
皮肤|skin
浪费|waste
厉害|impressive; formidable
尊重|respect
激动|emotionally excited
可怜|pitiful; feel sorry for
语言|language
成熟|ripe; mature
无聊|bored; boring
文章|article
信任|trust
网站|website
地球|Earth
实际|actual; practical
年龄|age
差不多|almost; about the same
可惜|what a pity
阳光|sunshine
回忆|recall; memories
空气|air
材料|material
熟悉|familiar
随便|as you like
互相|each other
合适|suitable; appropriate
失望|disappointed
印象|impression
号码|number
出生|be born
基础|foundation
适应|adapt
到处|everywhere
食品|food products
大约|approximately
提前|in advance; early
暂时|temporarily
积极|active; enthusiastic
高级|advanced; high-grade
收入|income
恐怕|I'm afraid that
仔细|careful; attentive
严格|strict
及时|in time; promptly
知识|knowledge
专门|specially; specialized
工具|tool
尤其|especially
信心|confidence
博士|PhD; doctorate holder
故意|deliberately
看法|opinion; view
浪漫|romantic
减少|reduce
辛苦|hard; tiring
正好|just right
主动|take initiative
限制|limit; restrict
判断|judge; determine
现代|modern
有趣|interesting
公里|kilometer
工资|wages; salary
好处|benefit
伤心|heartbroken; sad
区别|difference; distinguish
将来|future
聊天|chat
小说|novel
鼓励|encourage
理想|ideal; dream
后悔|regret
举办|hold; organize an event
感动|moved emotionally
顾客|customer
组成|make up; compose
流行|popular; in fashion
整理|tidy; organize
丰富|rich; plentiful
